Date,"Close Price"
"2016-03-19 00:00:00",408.52
"2016-03-20 00:00:00",410.75
"2016-03-21 00:00:00",411.42
"2016-03-22 00:00:00",416.93
"2016-03-23 00:00:00",417.39
"2016-03-24 00:00:00",414.34
"2016-03-25 00:00:00",415.69
"2016-03-26 00:00:00",416.73
"2016-03-27 00:00:00",425.38
"2016-03-28 00:00:00",422.76
"2016-03-29 00:00:00",415.55
"2016-03-30 00:00:00",412.69
"2016-03-31 00:00:00",415.16
"2016-04-01 00:00:00",417.01
"2016-04-02 00:00:00",419.69
"2016-04-03 00:00:00",419.38
"2016-04-04 00:00:00",419.42
"2016-04-05 00:00:00",422.65
"2016-04-06 00:00:00",421.7
"2016-04-07 00:00:00",421.2
"2016-04-08 00:00:00",418.09
"2016-04-09 00:00:00",418.42
"2016-04-10 00:00:00",421.11
"2016-04-11 00:00:00",422.99
"2016-04-12 00:00:00",425.99
"2016-04-13 00:00:00",424.4
"2016-04-14 00:00:00",425.11
"2016-04-15 00:00:00",429.98
"2016-04-16 00:00:00",430.84
"2016-04-17 00:00:00",427.86
"2016-04-18 00:00:00",429.05
"2016-04-19 00:00:00",436.1
"2016-04-20 00:00:00",442.16
"2016-04-21 00:00:00",451.1
"2016-04-22 00:00:00",447.64
"2016-04-23 00:00:00",452.58
"2016-04-24 00:00:00",460.33
"2016-04-25 00:00:00",462.51
"2016-04-26 00:00:00",467.8
"2016-04-27 00:00:00",445.01
"2016-04-28 00:00:00",449.86
"2016-04-29 00:00:00",456.35
"2016-04-30 00:00:00",449.33
"2016-05-01 00:00:00",453.04
"2016-05-02 00:00:00",444.51
"2016-05-03 00:00:00",450.27
"2016-05-04 00:00:00",446.96
"2016-05-05 00:00:00",448.53
"2016-05-06 00:00:00",460.37
"2016-05-07 00:00:00",459.46
"2016-05-08 00:00:00",459.44
"2016-05-09 00:00:00",461.49
"2016-05-10 00:00:00",450.99
"2016-05-11 00:00:00",452.11
"2016-05-12 00:00:00",454.82
"2016-05-13 00:00:00",455.73
"2016-05-14 00:00:00",455.75
"2016-05-15 00:00:00",457.85
"2016-05-16 00:00:00",453.41
"2016-05-17 00:00:00",452.75
"2016-05-18 00:00:00",453.38
"2016-05-19 00:00:00",436.73
"2016-05-20 00:00:00",442.95
"2016-05-21 00:00:00",443.13
"2016-05-22 00:00:00",438.77
"2016-05-23 00:00:00",443.73
"2016-05-24 00:00:00",445.13
"2016-05-25 00:00:00",449.23
"2016-05-26 00:00:00",453.82
"2016-05-27 00:00:00",473.47
"2016-05-28 00:00:00",525.43
"2016-05-29 00:00:00",524.08
"2016-05-30 00:00:00",532.59
"2016-05-31 00:00:00",531.8
"2016-06-01 00:00:00",536.42
"2016-06-02 00:00:00",538.14
"2016-06-03 00:00:00",570.47
"2016-06-04 00:00:00",573.45
"2016-06-05 00:00:00",574.11
"2016-06-06 00:00:00",585.53
"2016-06-07 00:00:00",577.86
"2016-06-08 00:00:00",583.1
"2016-06-09 00:00:00",576.45
"2016-06-10 00:00:00",579.13
"2016-06-11 00:00:00",611.78
"2016-06-12 00:00:00",675.34
"2016-06-13 00:00:00",705.62
"2016-06-14 00:00:00",685.99
"2016-06-15 00:00:00",696.32
"2016-06-16 00:00:00",768.24
"2016-06-17 00:00:00",747.55
"2016-06-18 00:00:00",755.68
"2016-06-19 17:55:00",763.19

"This data was produced from the CoinDesk Bitcoin Price Index. BPI value data is listed in USD."
http://www.coindesk.com/price/
