,userId,geo,coordinates,timestamp,tweet,source,isretweeted,lang,lat,lon,polarity
800356662355906560,3313247919,,,1479654872870,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800356726151270400,4776928569,,,1479654888080,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
800356798158901248,76593802,,,1479654905248,las víctimas del franquismo reprochan a carmena que no les reciba URL,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,es,null,null,null
800356833974243328,490725060,,,1479654913787,¡¡¡¡¡¡okupas de españa juntaos y okupar.!!!!!!! 😆😆😆😆😆. URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800356847492468736,750151939,,,1479654917010,"rt AT_USER fernanda:no me voy a ir contigo,no podemos hacer esto, tu hijo te necesita. joel: y nosotros? fer:ahora tienes responsab…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800356916408897536,707775240,,,1479654933441,rt AT_USER las víctimas del franquismo reprochan a carmena que no les reciba 20nmadridconmemoria URL URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800356934029221888,773305846562484224,,,1479654937642,"pues nada, si ella defiende la okupacion, pues habrá q okuparlo. no? URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800356971618648073,1636396596,,,1479654946604,la madre que me parió 😒😡 URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800356991466086401,1051328660,,,1479654951336,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
800357063654330368,3411410231,,,1479654968547,rt AT_USER ya podemos arrobar al golpeador? y ahora? y ahora? URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357081647878145,506555142,,,1479654972837,rt AT_USER las víctimas del franquismo reprochan a carmena que no les reciba URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357087184351233,201376895,,,1479654974157,que pereza ir a madrid ahora,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800357091546398724,398782492,,,1479654975197,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",True,es,null,null,null
800357306089279488,866165774,,,1479655026348,rt AT_USER comienzan a implantarse en madrid nuevas medidas de manuela carmena para frenar la suciedad en las calles URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357311160221701,557934512,,,1479655027557,"rt AT_USER en lisboa. en milán. y ahora en vuestra casa, de la cual sois desahuciados para iros a jugar casi a guadalajara. b… ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357343233904641,256513098,,,1479655035204,rt AT_USER manifestantes contra la impunidad piden a carmena que reciba a las víctimas del franquismo. 20n memoria URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357359403073537,449216115,,,1479655039059,"rt AT_USER en lisboa. en milán. y ahora en vuestra casa, de la cual sois desahuciados para iros a jugar casi a guadalajara. b… ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357375672721408,235751756,,,1479655042938,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800357377262358529,572961298,,,1479655043317,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357402126192640,1066340456,,,1479655049245,rt AT_USER comienzan a implantarse en madrid nuevas medidas de manuela carmena para frenar la suciedad en las calles URL,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
